b_lam,b_xw,sc_s_key,sc_lam_key,C,power,r_squared
0.1,0.28500000000000003,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.28500000000000003,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.28500000000000003,x,no,1.6452423431928471,0.5658008429301622,0.976114244996868
0.1,0.28500000000000003,x,D,1.4941046358408734,0.6516373631957162,0.9999158762261069
0.1,0.28500000000000003,x,mixed,0.7876769821187162,0.9310743848059851,0.9991697733289664
0.1,0.28500000000000003,x,beta,0.8184168574703125,0.8614961307166903,0.9992441354731831
0.1,0.28500000000000003,w,no,2.115851916793662,0.6174148089938685,0.9997914868784162
0.1,0.28500000000000003,w,D,1.3063520815510608,0.8163619895268829,0.9986209671120094
0.1,0.28500000000000003,w,mixed,0.7544437438641853,1.0584571403942233,0.9992925691865371
0.1,0.28500000000000003,w,beta,0.25831287553112636,1.5603209993855138,0.9598550356122166
0.1,0.28500000000000003,xw,no,1.9010697456648218,0.8586437005543224,0.9999615185207865
0.1,0.28500000000000003,xw,D,1.368916542355211,1.0,1.0
0.1,0.28500000000000003,xw,mixed,0.907508435334,1.1847517686361828,0.9990002614573595
0.1,0.28500000000000003,xw,beta,0.5174962697093846,1.4411875603916042,0.9936031626245696
0.1,0.31000000000000005,,no,2.4885976858218966,0.0,0.0
0.1,0.31000000000000005,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.31000000000000005,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.31000000000000005,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.31000000000000005,x,no,1.6357624882930888,0.6028914304449099,0.9801118663693753
0.1,0.31000000000000005,x,D,1.535893979130518,0.6700777352073027,0.9999025496130088
0.1,0.31000000000000005,x,mixed,0.8371698069350889,0.9355848720675954,0.9992656513375826
0.1,0.31000000000000005,x,beta,0.8674121700670422,0.8713529009132661,0.9993546802018135
0.1,0.31000000000000005,w,no,2.2310505343965708,0.616999276653996,0.9998774959319595
0.1,0.31000000000000005,w,D,1.3575609326172697,0.8249890931673629,0.9987690051073861
0.1,0.31000000000000005,w,mixed,0.8083836538931911,1.0535699533769545,0.9992852807988154
0.1,0.31000000000000005,w,beta,0.2820425785091498,1.5493023679685431,0.9632962417641195
0.1,0.31000000000000005,xw,no,2.0490070859252185,0.856822920183301,0.9999697091820909
0.1,0.31000000000000005,xw,D,1.4715938340229462,1.0,1.0
0.1,0.31000000000000005,xw,mixed,1.0075388760481216,1.170077431715228,0.9990935444373159
0.1,0.31000000000000005,xw,beta,0.5827283890218502,1.422045504260703,0.9940320230774143
0.1,0.335,,no,2.4885976858218966,0.0,0.0
0.1,0.335,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.335,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
